Date,SKU,Quantity,Revenue,Current_Stock
2022-03-21,TSHIRT-001,7,140,324
2022-03-22,TSHIRT-001,9,180,152
2022-03-23,TSHIRT-001,8,160,271
2022-03-24,TSHIRT-001,9,180,346
2022-03-25,TSHIRT-001,5,100,423
2022-03-26,TSHIRT-001,7,140,354
2022-03-27,TSHIRT-001,6,120,393
2022-03-28,TSHIRT-001,9,180,297
2022-03-29,TSHIRT-001,5,100,494
2022-03-30,TSHIRT-001,8,160,300
2022-03-31,TSHIRT-001,8,160,223
2022-04-01,TSHIRT-001,9,180,358
2022-04-02,TSHIRT-001,7,140,247
2022-04-03,TSHIRT-001,6,120,445
2022-04-04,TSHIRT-001,6,120,246
2022-04-05,TSHIRT-001,6,120,227
2022-04-06,TSHIRT-001,7,140,138
2022-04-07,TSHIRT-001,6,120,250
2022-04-08,TSHIRT-001,7,140,397
2022-04-09,TSHIRT-001,8,160,445
2022-04-10,TSHIRT-001,6,120,211
2022-04-11,TSHIRT-001,8,160,101
2022-04-12,TSHIRT-001,10,200,484
2022-04-13,TSHIRT-001,7,140,108
2022-04-14,TSHIRT-001,8,160,332
2022-04-15,TSHIRT-001,8,160,230
2022-04-16,TSHIRT-001,6,120,251
2022-04-17,TSHIRT-001,8,160,215
2022-04-18,TSHIRT-001,7,140,174
2022-04-19,TSHIRT-001,8,160,211
2022-04-20,TSHIRT-001,9,180,198
2022-04-21,TSHIRT-001,7,140,262
2022-04-22,TSHIRT-001,5,100,307
2022-04-23,TSHIRT-001,7,140,403
2022-04-24,TSHIRT-001,6,120,483
2022-04-25,TSHIRT-001,8,160,227
2022-04-26,TSHIRT-001,8,160,132
2022-04-27,TSHIRT-001,7,140,474
2022-04-28,TSHIRT-001,10,200,121
2022-04-29,TSHIRT-001,8,160,382
2022-04-30,TSHIRT-001,6,120,126
2022-05-01,TSHIRT-001,7,140,383
2022-05-02,TSHIRT-001,8,160,466
2022-05-03,TSHIRT-001,5,100,416
2022-05-04,TSHIRT-001,7,140,403
2022-05-05,TSHIRT-001,5,100,319
2022-05-06,TSHIRT-001,7,140,257
2022-05-07,TSHIRT-001,6,120,280
2022-05-08,TSHIRT-001,7,140,194
2022-05-09,TSHIRT-001,6,120,260
2022-05-10,TSHIRT-001,5,100,355
2022-05-11,TSHIRT-001,4,80,322
2022-05-12,TSHIRT-001,6,120,153
2022-05-13,TSHIRT-001,7,140,379
2022-05-14,TSHIRT-001,8,160,213
2022-05-15,TSHIRT-001,6,120,485
2022-05-16,TSHIRT-001,5,100,372
2022-05-17,TSHIRT-001,7,140,269
2022-05-18,TSHIRT-001,8,160,346
2022-05-19,TSHIRT-001,5,100,112
2022-05-20,TSHIRT-001,6,120,415
2022-05-21,TSHIRT-001,7,140,272
2022-05-22,TSHIRT-001,10,200,119
2022-05-23,TSHIRT-001,7,140,499
2022-05-24,TSHIRT-001,7,140,241
2022-05-25,TSHIRT-001,6,120,191
2022-05-26,TSHIRT-001,7,140,453
2022-05-27,TSHIRT-001,6,120,441
2022-05-28,TSHIRT-001,5,100,150
2022-05-29,TSHIRT-001,8,160,224
2022-05-30,TSHIRT-001,4,80,249
2022-05-31,TSHIRT-001,5,100,279
2022-06-01,TSHIRT-001,6,120,269
2022-06-02,TSHIRT-001,5,100,200
2022-06-03,TSHIRT-001,7,140,363
2022-06-04,TSHIRT-001,5,100,104
2022-06-05,TSHIRT-001,6,120,202
2022-06-06,TSHIRT-001,8,160,410
2022-06-07,TSHIRT-001,7,140,407
2022-06-08,TSHIRT-001,4,80,157
2022-06-09,TSHIRT-001,4,80,445
2022-06-10,TSHIRT-001,6,120,228
2022-06-11,TSHIRT-001,6,120,157
2022-06-12,TSHIRT-001,5,100,195
2022-06-13,TSHIRT-001,6,120,225
2022-06-14,TSHIRT-001,5,100,288
2022-06-15,TSHIRT-001,6,120,291
2022-06-16,TSHIRT-001,7,140,346
2022-06-17,TSHIRT-001,6,120,175
2022-06-18,TSHIRT-001,4,80,185
2022-06-19,TSHIRT-001,5,100,284
2022-06-20,TSHIRT-001,4,80,146
2022-06-21,TSHIRT-001,5,100,193
2022-06-22,TSHIRT-001,5,100,303
2022-06-23,TSHIRT-001,5,100,499
2022-06-24,TSHIRT-001,5,100,138
2022-06-25,TSHIRT-001,4,80,199
2022-06-26,TSHIRT-001,5,100,122
2022-06-27,TSHIRT-001,4,80,349
2022-06-28,TSHIRT-001,6,120,389
2022-06-29,TSHIRT-001,6,120,279
2022-06-30,TSHIRT-001,6,120,195
2022-07-01,TSHIRT-001,3,60,356
2022-07-02,TSHIRT-001,6,120,115
2022-07-03,TSHIRT-001,5,100,379
2022-07-04,TSHIRT-001,5,100,439
2022-07-05,TSHIRT-001,5,100,251
2022-07-06,TSHIRT-001,5,100,132
2022-07-07,TSHIRT-001,6,120,278
2022-07-08,TSHIRT-001,5,100,164
2022-07-09,TSHIRT-001,5,100,267
2022-07-10,TSHIRT-001,4,80,363
2022-07-11,TSHIRT-001,4,80,192
2022-07-12,TSHIRT-001,4,80,295
2022-07-13,TSHIRT-001,5,100,413
2022-07-14,TSHIRT-001,5,100,475
2022-07-15,TSHIRT-001,5,100,316
2022-07-16,TSHIRT-001,3,60,493
2022-07-17,TSHIRT-001,4,80,456
2022-07-18,TSHIRT-001,4,80,276
2022-07-19,TSHIRT-001,4,80,198
2022-07-20,TSHIRT-001,3,60,195
2022-07-21,TSHIRT-001,3,60,251
2022-07-22,TSHIRT-001,4,80,367
2022-07-23,TSHIRT-001,4,80,468
2022-07-24,TSHIRT-001,4,80,454
2022-07-25,TSHIRT-001,4,80,460
2022-07-26,TSHIRT-001,4,80,183
2022-07-27,TSHIRT-001,2,40,467
2022-07-28,TSHIRT-001,2,40,118
2022-07-29,TSHIRT-001,3,60,276
2022-07-30,TSHIRT-001,3,60,383
2022-07-31,TSHIRT-001,4,80,305
2022-08-01,TSHIRT-001,3,60,466
2022-08-02,TSHIRT-001,4,80,243
2022-08-03,TSHIRT-001,2,40,124
2022-08-04,TSHIRT-001,3,60,478
2022-08-05,TSHIRT-001,3,60,280
2022-08-06,TSHIRT-001,3,60,141
2022-08-07,TSHIRT-001,4,80,338
2022-08-08,TSHIRT-001,3,60,175
2022-08-09,TSHIRT-001,3,60,352
2022-08-10,TSHIRT-001,3,60,329
2022-08-11,TSHIRT-001,3,60,269
2022-08-12,TSHIRT-001,3,60,492
2022-08-13,TSHIRT-001,3,60,104
2022-08-14,TSHIRT-001,3,60,128
2022-08-15,TSHIRT-001,2,40,244
2022-08-16,TSHIRT-001,2,40,426
2022-08-17,TSHIRT-001,2,40,463
2022-08-18,TSHIRT-001,3,60,281
2022-08-19,TSHIRT-001,2,40,118
2022-08-20,TSHIRT-001,3,60,138
2022-08-21,TSHIRT-001,2,40,341
2022-08-22,TSHIRT-001,2,40,319
2022-08-23,TSHIRT-001,3,60,416
2022-08-24,TSHIRT-001,3,60,482
2022-08-25,TSHIRT-001,3,60,447
2022-08-26,TSHIRT-001,3,60,289
2022-08-27,TSHIRT-001,2,40,411
2022-08-28,TSHIRT-001,1,20,216
2022-08-29,TSHIRT-001,2,40,302
2022-08-30,TSHIRT-001,3,60,351
2022-08-31,TSHIRT-001,2,40,119
2022-09-01,TSHIRT-001,2,40,146
2022-09-02,TSHIRT-001,3,60,100
2022-09-03,TSHIRT-001,3,60,472
2022-09-04,TSHIRT-001,2,40,111
2022-09-05,TSHIRT-001,3,60,429
2022-09-06,TSHIRT-001,3,60,107
2022-09-07,TSHIRT-001,2,40,221
2022-09-08,TSHIRT-001,2,40,285
2022-09-09,TSHIRT-001,2,40,415
2022-09-10,TSHIRT-001,2,40,140
2022-09-11,TSHIRT-001,2,40,327
2022-09-12,TSHIRT-001,1,20,311
2022-09-13,TSHIRT-001,2,40,319
2022-09-14,TSHIRT-001,2,40,134
2022-09-15,TSHIRT-001,2,40,352
2022-09-16,TSHIRT-001,2,40,296
2022-09-17,TSHIRT-001,2,40,402
2022-09-18,TSHIRT-001,2,40,104
2022-09-19,TSHIRT-001,2,40,218
2022-09-20,TSHIRT-001,3,60,245
2022-09-21,TSHIRT-001,2,40,323
2022-09-22,TSHIRT-001,2,40,414
2022-09-23,TSHIRT-001,3,60,382
2022-09-24,TSHIRT-001,2,40,204
2022-09-25,TSHIRT-001,2,40,198
2022-09-26,TSHIRT-001,2,40,296
2022-09-27,TSHIRT-001,2,40,450
2022-09-28,TSHIRT-001,2,40,122
2022-09-29,TSHIRT-001,2,40,152
2022-09-30,TSHIRT-001,2,40,465
2022-10-01,TSHIRT-001,1,20,100
2022-10-02,TSHIRT-001,2,40,468
2022-10-03,TSHIRT-001,2,40,387
2022-10-04,TSHIRT-001,2,40,217
2022-10-05,TSHIRT-001,2,40,358
2022-10-06,TSHIRT-001,2,40,153
2022-10-07,TSHIRT-001,2,40,335
2022-10-08,TSHIRT-001,2,40,412
2022-10-09,TSHIRT-001,2,40,211
2022-10-10,TSHIRT-001,1,20,328
2022-10-11,TSHIRT-001,2,40,440
2022-10-12,TSHIRT-001,2,40,202
2022-10-13,TSHIRT-001,2,40,291
2022-10-14,TSHIRT-001,1,20,446
2022-10-15,TSHIRT-001,3,60,407
2022-10-16,TSHIRT-001,1,20,434
2022-10-17,TSHIRT-001,3,60,129
2022-10-18,TSHIRT-001,2,40,232
2022-10-19,TSHIRT-001,2,40,384
2022-10-20,TSHIRT-001,1,20,168
2022-10-21,TSHIRT-001,2,40,133
2022-10-22,TSHIRT-001,2,40,225
2022-10-23,TSHIRT-001,3,60,334
2022-10-24,TSHIRT-001,1,20,210
2022-10-25,TSHIRT-001,3,60,348
2022-10-26,TSHIRT-001,3,60,473
2022-10-27,TSHIRT-001,2,40,499
2022-10-28,TSHIRT-001,2,40,283
2022-10-29,TSHIRT-001,2,40,380
2022-10-30,TSHIRT-001,2,40,192
2022-10-31,TSHIRT-001,3,60,259
2022-11-01,TSHIRT-001,4,80,376
2022-11-02,TSHIRT-001,4,80,104
2022-11-03,TSHIRT-001,4,80,121
2022-11-04,TSHIRT-001,4,80,425
2022-11-05,TSHIRT-001,5,100,445
2022-11-06,TSHIRT-001,4,80,145
2022-11-07,TSHIRT-001,5,100,400
2022-11-08,TSHIRT-001,3,60,172
2022-11-09,TSHIRT-001,5,100,313
2022-11-10,TSHIRT-001,4,80,338
2022-11-11,TSHIRT-001,4,80,147
2022-11-12,TSHIRT-001,5,100,160
2022-11-13,TSHIRT-001,5,100,279
2022-11-14,TSHIRT-001,5,100,306
2022-11-15,TSHIRT-001,6,120,113
2022-11-16,TSHIRT-001,5,100,127
2022-11-17,TSHIRT-001,5,100,464
2022-11-18,TSHIRT-001,4,80,253
2022-11-19,TSHIRT-001,6,120,337
2022-11-20,TSHIRT-001,6,120,462
2022-11-21,TSHIRT-001,5,100,393
2022-11-22,TSHIRT-001,6,120,326
2022-11-23,TSHIRT-001,5,100,218
2022-11-24,TSHIRT-001,6,120,127
2022-11-25,TSHIRT-001,5,100,399
2022-11-26,TSHIRT-001,5,100,124
2022-11-27,TSHIRT-001,6,120,167
2022-11-28,TSHIRT-001,7,140,493
2022-11-29,TSHIRT-001,6,120,210
2022-11-30,TSHIRT-001,8,160,327
2022-12-01,TSHIRT-001,11,220,363
2022-12-02,TSHIRT-001,9,180,468
2022-12-03,TSHIRT-001,5,100,200
2022-12-04,TSHIRT-001,9,180,105
2022-12-05,TSHIRT-001,8,160,414
2022-12-06,TSHIRT-001,9,180,464
2022-12-07,TSHIRT-001,9,180,249
2022-12-08,TSHIRT-001,8,160,376
2022-12-09,TSHIRT-001,8,160,103
2022-12-10,TSHIRT-001,8,160,449
2022-12-11,TSHIRT-001,8,160,194
2022-12-12,TSHIRT-001,8,160,251
2022-12-13,TSHIRT-001,5,100,135
2022-12-14,TSHIRT-001,10,200,322
2022-12-15,TSHIRT-001,9,180,174
2022-12-16,TSHIRT-001,10,200,103
2022-12-17,TSHIRT-001,12,240,161
2022-12-18,TSHIRT-001,9,180,293
2022-12-19,TSHIRT-001,12,240,272
2022-12-20,TSHIRT-001,12,240,399
2022-12-21,TSHIRT-001,8,160,119
2022-12-22,TSHIRT-001,11,220,212
2022-12-23,TSHIRT-001,13,260,241
2022-12-24,TSHIRT-001,10,200,419
2022-12-25,TSHIRT-001,10,200,455
2022-12-26,TSHIRT-001,9,180,432
2022-12-27,TSHIRT-001,9,180,277
2022-12-28,TSHIRT-001,10,200,109
2022-12-29,TSHIRT-001,14,280,485
2022-12-30,TSHIRT-001,14,280,112
2022-12-31,TSHIRT-001,10,200,418
2023-01-01,TSHIRT-001,5,100,200
2023-01-02,TSHIRT-001,6,120,193
2023-01-03,TSHIRT-001,4,80,194
2023-01-04,TSHIRT-001,5,100,175
2023-01-05,TSHIRT-001,5,100,134
2023-01-06,TSHIRT-001,5,100,159
2023-01-07,TSHIRT-001,5,100,419
2023-01-08,TSHIRT-001,5,100,328
2023-01-09,TSHIRT-001,5,100,369
2023-01-10,TSHIRT-001,5,100,264
2023-01-11,TSHIRT-001,5,100,104
2023-01-12,TSHIRT-001,6,120,161
2023-01-13,TSHIRT-001,4,80,231
2023-01-14,TSHIRT-001,6,120,395
2023-01-15,TSHIRT-001,4,80,427
2023-01-16,TSHIRT-001,3,60,278
2023-01-17,TSHIRT-001,4,80,224
2023-01-18,TSHIRT-001,6,120,242
2023-01-19,TSHIRT-001,5,100,252
2023-01-20,TSHIRT-001,4,80,408
2023-01-21,TSHIRT-001,4,80,203
2023-01-22,TSHIRT-001,6,120,297
2023-01-23,TSHIRT-001,4,80,233
2023-01-24,TSHIRT-001,7,140,141
2023-01-25,TSHIRT-001,5,100,114
2023-01-26,TSHIRT-001,6,120,330
2023-01-27,TSHIRT-001,7,140,256
2023-01-28,TSHIRT-001,5,100,388
2023-01-29,TSHIRT-001,5,100,353
2023-01-30,TSHIRT-001,6,120,104
2023-01-31,TSHIRT-001,5,100,222
2023-02-01,TSHIRT-001,5,100,496
2023-02-02,TSHIRT-001,6,120,258
2023-02-03,TSHIRT-001,5,100,283
2023-02-04,TSHIRT-001,4,80,114
2023-02-05,TSHIRT-001,6,120,146
2023-02-06,TSHIRT-001,6,120,423
2023-02-07,TSHIRT-001,7,140,194
2023-02-08,TSHIRT-001,7,140,214
2023-02-09,TSHIRT-001,6,120,398
2023-02-10,TSHIRT-001,8,160,382
2023-02-11,TSHIRT-001,5,100,429
2023-02-12,TSHIRT-001,6,120,459
2023-02-13,TSHIRT-001,4,80,402
2023-02-14,TSHIRT-001,8,160,445
2023-02-15,TSHIRT-001,6,120,210
2023-02-16,TSHIRT-001,9,180,203
2023-02-17,TSHIRT-001,8,160,475
2023-02-18,TSHIRT-001,7,140,392
2023-02-19,TSHIRT-001,6,120,191
2023-02-20,TSHIRT-001,7,140,386
2023-02-21,TSHIRT-001,5,100,128
2023-02-22,TSHIRT-001,8,160,395
2023-02-23,TSHIRT-001,6,120,445
2023-02-24,TSHIRT-001,6,120,209
2023-02-25,TSHIRT-001,7,140,100
2023-02-26,TSHIRT-001,6,120,418
2023-02-27,TSHIRT-001,5,100,498
2023-02-28,TSHIRT-001,6,120,248
2023-03-01,TSHIRT-001,8,160,301
2023-03-02,TSHIRT-001,6,120,412
2023-03-03,TSHIRT-001,8,160,174
2023-03-04,TSHIRT-001,4,80,393
2023-03-05,TSHIRT-001,5,100,446
2023-03-06,TSHIRT-001,5,100,116
2023-03-07,TSHIRT-001,6,120,350
2023-03-08,TSHIRT-001,7,140,278
2023-03-09,TSHIRT-001,7,140,279
2023-03-10,TSHIRT-001,5,100,297
2023-03-11,TSHIRT-001,6,120,253
2023-03-12,TSHIRT-001,8,160,255
2023-03-13,TSHIRT-001,7,140,436
2023-03-14,TSHIRT-001,5,100,183
2023-03-15,TSHIRT-001,9,180,441
2023-03-16,TSHIRT-001,5,100,162
2023-03-17,TSHIRT-001,7,140,356
2023-03-18,TSHIRT-001,7,140,323
2023-03-19,TSHIRT-001,7,140,478
2023-03-20,TSHIRT-001,7,140,310
2023-03-21,TSHIRT-001,6,120,404
2023-03-22,TSHIRT-001,5,100,385
2023-03-23,TSHIRT-001,7,140,356
2023-03-24,TSHIRT-001,8,160,177
2023-03-25,TSHIRT-001,7,140,212
2023-03-26,TSHIRT-001,9,180,213
2023-03-27,TSHIRT-001,9,180,231
2023-03-28,TSHIRT-001,7,140,484
2023-03-29,TSHIRT-001,6,120,230
2023-03-30,TSHIRT-001,7,140,387
2023-03-31,TSHIRT-001,8,160,261
2023-04-01,TSHIRT-001,7,140,479
2023-04-02,TSHIRT-001,8,160,422
2023-04-03,TSHIRT-001,5,100,354
2023-04-04,TSHIRT-001,6,120,196
2023-04-05,TSHIRT-001,8,160,191
2023-04-06,TSHIRT-001,7,140,195
2023-04-07,TSHIRT-001,7,140,187
2023-04-08,TSHIRT-001,8,160,499
2023-04-09,TSHIRT-001,7,140,264
2023-04-10,TSHIRT-001,7,140,410
2023-04-11,TSHIRT-001,6,120,106
2023-04-12,TSHIRT-001,8,160,184
2023-04-13,TSHIRT-001,8,160,246
2023-04-14,TSHIRT-001,8,160,484
2023-04-15,TSHIRT-001,8,160,402
2023-04-16,TSHIRT-001,5,100,485
2023-04-17,TSHIRT-001,8,160,294
2023-04-18,TSHIRT-001,5,100,360
2023-04-19,TSHIRT-001,8,160,392
2023-04-20,TSHIRT-001,8,160,325
2023-04-21,TSHIRT-001,4,80,152
2023-04-22,TSHIRT-001,7,140,441
2023-04-23,TSHIRT-001,7,140,463
2023-04-24,TSHIRT-001,8,160,227
2023-04-25,TSHIRT-001,7,140,323
2023-04-26,TSHIRT-001,6,120,113
2023-04-27,TSHIRT-001,7,140,108
2023-04-28,TSHIRT-001,9,180,458
2023-04-29,TSHIRT-001,7,140,300
2023-04-30,TSHIRT-001,7,140,103
2023-05-01,TSHIRT-001,6,120,253
2023-05-02,TSHIRT-001,5,100,314
2023-05-03,TSHIRT-001,7,140,392
2023-05-04,TSHIRT-001,7,140,133
2023-05-05,TSHIRT-001,6,120,116
2023-05-06,TSHIRT-001,6,120,175
2023-05-07,TSHIRT-001,4,80,186
2023-05-08,TSHIRT-001,6,120,318
2023-05-09,TSHIRT-001,6,120,267
2023-05-10,TSHIRT-001,7,140,408
2023-05-11,TSHIRT-001,5,100,493
2023-05-12,TSHIRT-001,6,120,289
2023-05-13,TSHIRT-001,7,140,221
2023-05-14,TSHIRT-001,4,80,409
2023-05-15,TSHIRT-001,5,100,462
2023-05-16,TSHIRT-001,6,120,263
2023-05-17,TSHIRT-001,7,140,212
2023-05-18,TSHIRT-001,7,140,409
2023-05-19,TSHIRT-001,8,160,197
2023-05-20,TSHIRT-001,7,140,168
2023-05-21,TSHIRT-001,6,120,411
2023-05-22,TSHIRT-001,7,140,436
2023-05-23,TSHIRT-001,5,100,464
2023-05-24,TSHIRT-001,6,120,172
2023-05-25,TSHIRT-001,5,100,300
2023-05-26,TSHIRT-001,5,100,160
2023-05-27,TSHIRT-001,4,80,203
2023-05-28,TSHIRT-001,4,80,230
2023-05-29,TSHIRT-001,5,100,328
2023-05-30,TSHIRT-001,7,140,404
2023-05-31,TSHIRT-001,5,100,116
2023-06-01,TSHIRT-001,6,120,402
2023-06-02,TSHIRT-001,6,120,111
2023-06-03,TSHIRT-001,7,140,363
2023-06-04,TSHIRT-001,6,120,248
2023-06-05,TSHIRT-001,6,120,297
2023-06-06,TSHIRT-001,6,120,299
2023-06-07,TSHIRT-001,5,100,242
2023-06-08,TSHIRT-001,4,80,158
2023-06-09,TSHIRT-001,6,120,369
2023-06-10,TSHIRT-001,6,120,434
2023-06-11,TSHIRT-001,4,80,275
2023-06-12,TSHIRT-001,6,120,427
2023-06-13,TSHIRT-001,6,120,202
2023-06-14,TSHIRT-001,5,100,372
2023-06-15,TSHIRT-001,4,80,207
2023-06-16,TSHIRT-001,6,120,287
2023-06-17,TSHIRT-001,6,120,270
2023-06-18,TSHIRT-001,5,100,282
2023-06-19,TSHIRT-001,6,120,475
2023-06-20,TSHIRT-001,3,60,103
2023-06-21,TSHIRT-001,4,80,309
2023-06-22,TSHIRT-001,6,120,260
2023-06-23,TSHIRT-001,5,100,481
2023-06-24,TSHIRT-001,6,120,410
2023-06-25,TSHIRT-001,5,100,350
2023-06-26,TSHIRT-001,5,100,346
2023-06-27,TSHIRT-001,4,80,195
2023-06-28,TSHIRT-001,4,80,326
2023-06-29,TSHIRT-001,5,100,371
2023-06-30,TSHIRT-001,4,80,335
2023-07-01,TSHIRT-001,3,60,488
2023-07-02,TSHIRT-001,3,60,164
2023-07-03,TSHIRT-001,4,80,241
2023-07-04,TSHIRT-001,4,80,475
2023-07-05,TSHIRT-001,4,80,392
2023-07-06,TSHIRT-001,4,80,252
2023-07-07,TSHIRT-001,5,100,172
2023-07-08,TSHIRT-001,4,80,498
2023-07-09,TSHIRT-001,5,100,239
2023-07-10,TSHIRT-001,3,60,286
2023-07-11,TSHIRT-001,4,80,418
2023-07-12,TSHIRT-001,3,60,401
2023-07-13,TSHIRT-001,5,100,325
2023-07-14,TSHIRT-001,4,80,252
2023-07-15,TSHIRT-001,4,80,171
2023-07-16,TSHIRT-001,4,80,247
2023-07-17,TSHIRT-001,4,80,342
2023-07-18,TSHIRT-001,4,80,465
2023-07-19,TSHIRT-001,3,60,317
2023-07-20,TSHIRT-001,3,60,340
2023-07-21,TSHIRT-001,4,80,314
2023-07-22,TSHIRT-001,4,80,276
2023-07-23,TSHIRT-001,5,100,340
2023-07-24,TSHIRT-001,4,80,160
2023-07-25,TSHIRT-001,4,80,437
2023-07-26,TSHIRT-001,2,40,161
2023-07-27,TSHIRT-001,5,100,480
2023-07-28,TSHIRT-001,3,60,188
2023-07-29,TSHIRT-001,4,80,197
2023-07-30,TSHIRT-001,4,80,366
2023-07-31,TSHIRT-001,3,60,128
2023-08-01,TSHIRT-001,4,80,236
2023-08-02,TSHIRT-001,3,60,124
2023-08-03,TSHIRT-001,3,60,360
2023-08-04,TSHIRT-001,3,60,223
2023-08-05,TSHIRT-001,4,80,137
2023-08-06,TSHIRT-001,4,80,189
2023-08-07,TSHIRT-001,3,60,136
2023-08-08,TSHIRT-001,3,60,180
2023-08-09,TSHIRT-001,2,40,213
2023-08-10,TSHIRT-001,1,20,448
2023-08-11,TSHIRT-001,2,40,214
2023-08-12,TSHIRT-001,3,60,453
2023-08-13,TSHIRT-001,3,60,139
2023-08-14,TSHIRT-001,2,40,361
2023-08-15,TSHIRT-001,3,60,315
2023-08-16,TSHIRT-001,3,60,452
2023-08-17,TSHIRT-001,3,60,158
2023-08-18,TSHIRT-001,3,60,462
2023-08-19,TSHIRT-001,3,60,144
2023-08-20,TSHIRT-001,3,60,290
2023-08-21,TSHIRT-001,3,60,254
2023-08-22,TSHIRT-001,2,40,334
2023-08-23,TSHIRT-001,3,60,144
2023-08-24,TSHIRT-001,2,40,462
2023-08-25,TSHIRT-001,3,60,257
2023-08-26,TSHIRT-001,3,60,111
2023-08-27,TSHIRT-001,3,60,394
2023-08-28,TSHIRT-001,3,60,459
2023-08-29,TSHIRT-001,2,40,322
2023-08-30,TSHIRT-001,2,40,173
2023-08-31,TSHIRT-001,2,40,332
2023-09-01,TSHIRT-001,2,40,159
2023-09-02,TSHIRT-001,2,40,434
2023-09-03,TSHIRT-001,2,40,341
2023-09-04,TSHIRT-001,2,40,423
2023-09-05,TSHIRT-001,3,60,493
2023-09-06,TSHIRT-001,2,40,473
2023-09-07,TSHIRT-001,3,60,309
2023-09-08,TSHIRT-001,2,40,405
2023-09-09,TSHIRT-001,3,60,480
2023-09-10,TSHIRT-001,2,40,106
2023-09-11,TSHIRT-001,3,60,157
2023-09-12,TSHIRT-001,2,40,125
2023-09-13,TSHIRT-001,2,40,103
2023-09-14,TSHIRT-001,2,40,198
2023-09-15,TSHIRT-001,2,40,474
2023-09-16,TSHIRT-001,2,40,384
2023-09-17,TSHIRT-001,2,40,229
2023-09-18,TSHIRT-001,2,40,274
2023-09-19,TSHIRT-001,2,40,126
2023-09-20,TSHIRT-001,3,60,294
2023-09-21,TSHIRT-001,2,40,456
2023-09-22,TSHIRT-001,2,40,183
2023-09-23,TSHIRT-001,1,20,486
2023-09-24,TSHIRT-001,2,40,356
2023-09-25,TSHIRT-001,2,40,261
2023-09-26,TSHIRT-001,2,40,262
